종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
삼성전자,"193,300","상승 7,000",+3.76%,100,"11,442,660","5,919,638",49.34,"4,313,551",29.45,10.85
SK하이닉스,"988,000","상승 55,000",+5.89%,"5,000","7,041,499","712,702",53.43,"613,419",16.76,44.15
삼성전자우,"136,400","상승 5,500",+4.20%,100,"1,112,989","815,975",76.43,"704,794",20.78,N/A
현대차,"501,000","상승 16,000",+3.30%,"5,000","1,025,836","204,758",28.31,"185,236",14.18,8.41
LG에너지솔루션,"377,000","상승 21,000",+5.90%,500,"882,180","234,000",4.85,"83,765",-82.22,-5.19
SK스퀘어,"591,000","상승 34,000",+6.10%,100,"780,635","132,087",49.89,"75,979",8.89,37.82
삼성바이오로직스,"1,561,000","상승 38,000",+2.50%,"2,500","722,602","46,291",12.71,"3,451",58.75,19.44
한화에어로스페이스,"1,334,000","상승 56,000",+4.38%,"5,000","687,856","51,563",44.73,"36,288",46.69,19.14
두산에너빌리티,"103,800","상승 3,100",+3.08%,"5,000","664,902","640,561",24.13,"771,222",-652.83,1.52
기아,"160,500","하락 1,200",-0.74%,"5,000","626,613","390,413",38.88,"298,114",8.40,12.92
HD현대중공업,"524,000","상승 22,000",+4.38%,"5,000","549,997","104,961",15.24,"29,242",N/A,11.39
KB금융,"147,300","상승 2,000",+1.38%,"5,000","549,209","372,850",76.45,"151,419",9.87,8.86
삼성물산,"283,500","상승 9,000",+3.28%,100,"481,884","169,977",29.72,"47,570",20.01,6.02
셀트리온,"195,200","상승 6,900",+3.66%,"1,000","451,006","231,048",23.26,"72,664",43.89,5.94
삼성생명,"222,500","상승 5,000",+2.30%,500,"445,000","200,000",23.07,"25,479",19.32,4.96
신한지주,"90,700",상승 800,+0.89%,"5,000","430,512","474,654",61.91,"271,267",9.28,8.11
한화오션,"125,600","상승 6,700",+5.63%,"5,000","384,855","306,413",11.13,"170,781",30.89,22.59
현대모비스,"393,000","상승 12,000",+3.15%,"5,000","356,579","90,733",42.82,"25,515",9.90,7.68
미래에셋증권,"63,300","상승 1,400",+2.26%,"5,000","351,515","555,316",9.71,"455,758",36.55,7.94
HD현대일렉트릭,"950,000","상승 37,000",+4.05%,"5,000","342,448","36,047",36.92,"15,945",46.74,41.50
삼성전기,"452,000","상승 24,500",+5.73%,"5,000","337,616","74,694",38.48,"135,315",49.68,7.70
NAVER,"215,000","상승 6,000",+2.87%,100,"337,233","156,853",38.45,"92,577",17.37,7.37
고려아연,"1,553,000","상승 67,000",+4.51%,"5,000","324,157","20,873",9.50,"2,895",40.32,8.48
삼성SDI,"400,500","상승 24,000",+6.37%,"5,000","322,745","80,586",24.15,"153,182",-48.11,-3.15
한국전력,"47,350","상승 1,750",+3.84%,"5,000","303,970","641,964",22.35,"294,697",3.56,19.40
하나금융지주,"107,500","상승 1,500",+1.42%,"5,000","299,200","278,326",67.50,"67,955",7.62,9.17
한미반도체,"302,000","상승 5,000",+1.68%,100,"287,843","95,312",7.43,"186,253",135.24,34.76
POSCO홀딩스,"337,500","상승 12,500",+3.85%,"5,000","273,149","80,933",29.21,"51,427",41.74,1.18
HD한국조선해양,"383,000","상승 17,000",+4.64%,"5,000","271,061","70,773",34.22,"43,268",12.50,11.16
LS ELECTRIC,"855,000","상승 32,000",+3.89%,"5,000","256,500","30,000",22.33,"34,019",89.49,14.67
효성중공업,"2,733,000","상승 144,000",+5.56%,"5,000","254,840","9,325",28.09,"8,968",49.02,24.41
SK,"341,500","상승 12,500",+3.80%,200,"247,597","72,503",28.37,"22,658",15.62,6.35
한화시스템,"127,200","상승 3,200",+2.58%,"5,000","240,305","188,919",8.27,"235,765",99.22,6.60
삼성중공업,"27,250","상승 1,250",+4.81%,"1,000","239,800","880,000",33.53,"614,141",43.95,13.74
우리금융지주,"32,350",상승 650,+2.05%,"5,000","237,474","734,076",46.94,"202,884",7.45,9.39
LG화학,"312,000","상승 22,000",+7.59%,"5,000","220,248","70,592",35.42,"60,496",-13.42,-5.50
카카오,"48,700","상승 1,800",+3.84%,100,"215,627","442,766",29.41,"196,244",92.76,0.56
삼성화재,"468,000","상승 12,500",+2.74%,500,"215,332","46,011",55.32,"7,218",11.74,13.11
HD현대,"252,000","상승 11,500",+4.78%,"1,000","199,063","78,993",26.44,"12,171",N/A,6.36
현대로템,"177,800","상승 8,900",+5.27%,"5,000","194,055","109,142",33.48,"181,958",25.20,30.05
두산,"1,176,000","상승 110,000",+10.32%,"5,000","190,439","16,194",18.86,"20,987",420.45,-14.57
HMM,"19,950",상승 140,+0.71%,"5,000","188,176","943,238",7.35,"534,664",10.20,6.90
기업은행,"23,500",상승 450,+1.95%,"5,000","187,395","797,426",13.14,"165,091",6.93,8.06
LG전자,"114,650","상승 5,150",+4.70%,"5,000","186,749","162,886",33.16,"142,779",21.55,4.28
SK이노베이션,"110,000","상승 4,400",+4.17%,"5,000","185,958","169,053",12.98,"52,301",-5.22,-14.42
메리츠금융지주,"107,800","상승 2,500",+2.37%,500,"182,183","169,001",14.88,"23,619",8.56,23.44
KT&G,"155,800","상승 4,000",+2.64%,"5,000","178,666","114,677",44.93,"17,826",17.36,11.77
포스코퓨처엠,"199,600","상승 13,200",+7.08%,500,"177,537","88,946",8.51,"125,288",517.10,0.92
KODEX 200,"84,170","상승 3,145",+3.88%,0,"177,010","210,300",23.62,"3,456,886",N/A,N/A
한국항공우주,"177,500","상승 7,600",+4.47%,"5,000","173,018","97,475",28.47,"73,804",93.08,10.51
현대건설,"155,600","상승 1,500",+0.97%,"5,000","173,270","111,356",24.04,"199,685",46.87,4.58
현대글로비스,"221,000","상승 5,000",+2.31%,500,"165,750","75,000",47.59,"20,718",9.56,13.24
SK텔레콤,"76,050","상승 1,850",+2.49%,100,"163,348","214,790",38.58,"72,092",40.01,3.33
KT,"58,600",상승 800,+1.38%,"5,000","147,685","252,022",49.00,"37,458",8.53,10.22
TIGER 미국S&P500,"24,420",상승 65,+0.27%,0,"146,874","601,450",0.05,"1,488,459",N/A,N/A
LIG넥스원,"663,000","상승 23,000",+3.59%,"5,000","145,860","22,000",24.44,"53,423",45.41,19.59
LG,"88,200","상승 1,400",+1.61%,"5,000","136,023","154,222",36.13,"25,361",19.06,2.64
포스코인터내셔널,"76,300",하락 600,-0.78%,"5,000","134,229","175,923",6.77,"126,696",21.86,9.27
삼성에피스홀딩스,"520,000","상승 9,000",+1.76%,"2,500","129,392","24,883",7.08,"5,560",-66.64,N/A
하이브,"299,500","상승 9,000",+3.10%,500,"128,988","43,068",21.32,"106,227",-52.79,-7.33
DB손해보험,"184,100","상승 7,300",+4.13%,500,"127,736","69,384",43.30,"22,773",8.17,18.98
에이피알,"337,000","상승 12,500",+3.85%,100,"126,167","37,438",34.95,"40,353",43.63,41.34
S-Oil,"108,800","상승 2,800",+2.64%,"2,500","122,490","112,583",75.74,"109,242",-70.56,-2.18
삼성에스디에스,"157,000","상승 4,600",+3.02%,500,"121,483","77,378",21.63,"13,345",15.99,7.89
한국금융지주,"215,500","상승 4,500",+2.13%,"5,000","120,090","55,726",34.77,"43,625",7.47,11.54
NH투자증권,"33,500",상승 800,+2.45%,"5,000","119,375","356,344",12.46,"141,474",13.66,8.73
카카오뱅크,"24,000",상승 500,+2.13%,"5,000","114,491","477,044",15.96,"142,471",24.92,6.95
현대오토에버,"410,000","상승 15,000",+3.80%,500,"112,438","27,424",1.78,"9,387",62.57,10.40
크래프톤,"235,000","상승 7,000",+3.07%,100,"111,401","47,405",41.75,"5,788",15.22,10.60
키움증권,"415,500",상승 500,+0.12%,"5,000","108,910","26,212",29.77,"32,350",11.38,15.98
이수페타시스,"126,100","상승 10,600",+9.18%,"1,000","92,569","73,409",25.82,"206,471",64.01,24.92
대한항공,"24,800",상승 500,+2.06%,"5,000","91,319","368,221",18.86,"527,872",11.75,7.28
삼양식품,"1,197,000","상승 60,000",+5.28%,"5,000","90,170","7,533",15.54,"18,979",24.38,39.37
현대차2우B,"257,500","상승 9,000",+3.62%,"5,000","90,032","34,964",55.93,"22,333",7.29,N/A
LS,"286,000","상승 12,500",+4.57%,"5,000","89,232","31,200",19.97,"52,539",33.81,5.65
한화,"116,000","상승 7,400",+6.81%,"5,000","86,952","74,959",17.90,"35,512",29.45,3.30
삼성증권,"96,600","상승 2,400",+2.55%,"5,000","86,264","89,300",27.10,"46,595",9.18,12.89
TIGER 반도체TOP10,"33,630","상승 1,200",+3.70%,0,"84,714","251,900",0.25,"3,268,519",N/A,N/A
카카오페이,"60,600","상승 1,100",+1.85%,500,"81,946","135,224",28.22,"59,677",180.90,2.41
KODEX CD금리액티브(합성),"1,075,110",상승 80,+0.01%,0,"81,197","7,552",0.05,"69,537",N/A,N/A
한진칼,"120,900","상승 2,100",+1.77%,"2,500","80,716","66,762",20.33,"11,737",45.97,16.75
아모레퍼시픽,"137,000","상승 1,000",+0.74%,500,"80,135","58,493",26.12,"19,817",40.14,4.41
한화솔루션,"46,600",상승 100,+0.22%,"5,000","80,102","171,893",14.08,"718,758",-12.50,-7.01
HD현대마린솔루션,"177,800","상승 8,000",+4.71%,500,"79,710","44,831",30.25,"8,762",29.57,33.73
TIGER 미국나스닥100,"160,175",상승 775,+0.49%,0,"78,854","49,230",0.20,"173,914",N/A,N/A
KODEX 미국S&P500,"22,320",상승 60,+0.27%,0,"78,645","352,350",0.05,"1,259,702",N/A,N/A
유한양행,"95,500","상승 2,000",+2.14%,"1,000","76,063","79,648",19.04,"29,524",39.97,8.81
KODEX 머니마켓액티브,"103,890",상승 10,+0.01%,0,"74,635","71,840",0.51,"83,889",N/A,N/A
TIGER 200,"84,150","상승 3,080",+3.80%,0,"74,262","88,250",8.23,"1,054,575",N/A,N/A
SK바이오팜,"93,800","상승 2,600",+2.85%,500,"73,458","78,313",13.20,"12,738",27.52,39.28
대우건설,"17,610",상승 550,+3.22%,"5,000","73,191","415,623",10.59,"15,628,767",-8.02,-23.89
KODEX 코스닥150,"19,660",상승 650,+3.42%,0,"71,061","361,450",0.83,"5,768,780",N/A,N/A
LG이노텍,"294,000","상승 4,000",+1.38%,"5,000","69,581","23,667",32.43,"28,840",20.39,6.14
삼성E&A,"35,300",하락 650,-1.81%,"5,000","69,188","196,000",47.59,"1,128,013",11.21,13.76
삼성카드,"59,500",상승 500,+0.85%,"5,000","68,936","115,859",5.55,"18,204",10.67,7.45
한국타이어앤테크놀로지,"55,400","상승 1,200",+2.21%,500,"68,627","123,875",38.33,"29,717",N/A,10.79
한미약품,"519,000","상승 18,000",+3.59%,"2,500","66,489","12,811",14.33,"6,708",57.08,11.89
LG유플러스,"15,380",상승 250,+1.65%,"5,000","66,108","429,828",41.77,"64,347",12.73,6.01
HD건설기계,"135,400","상승 6,100",+4.72%,"5,000","64,957","47,974",21.24,"63,008",24.12,5.74
한전기술,"165,700","상승 4,600",+2.86%,200,"63,331","38,220",14.39,"39,625",74.17,14.20
